account_id,customer_id,account_type,open_date,status,branch_country
ACCT00001,CUST0001,Savings,2024-05-17,Active,Ireland
ACCT00002,CUST0001,Savings,2023-07-12,Dormant,Ireland
ACCT00003,CUST0002,Checking,2022-05-22,Active,Yemen
ACCT00004,CUST0002,Checking,2017-08-18,Active,Yemen
ACCT00005,CUST0002,Checking,2017-01-24,Active,Yemen
ACCT00006,CUST0003,Checking,2024-03-27,Dormant,Ireland
ACCT00007,CUST0003,Savings,2023-08-16,Active,Ireland
ACCT00008,CUST0003,Business,2024-02-03,Active,Ireland
ACCT00009,CUST0004,Business,2025-04-12,Dormant,Afghanistan
ACCT00010,CUST0004,Checking,2022-10-22,Dormant,Afghanistan
ACCT00011,CUST0005,Business,2016-06-13,Active,Myanmar
ACCT00012,CUST0005,Savings,2020-11-10,Active,Myanmar
ACCT00013,CUST0006,Savings,2024-02-09,Dormant,Yemen
ACCT00014,CUST0007,Checking,2025-05-20,Active,Netherlands
ACCT00015,CUST0007,Savings,2021-09-26,Dormant,Netherlands
ACCT00016,CUST0007,Business,2024-07-11,Active,Netherlands
ACCT00017,CUST0008,Business,2022-02-04,Dormant,Myanmar
ACCT00018,CUST0009,Savings,2024-09-20,Dormant,North Korea
ACCT00019,CUST0009,Checking,2023-01-19,Dormant,North Korea
ACCT00020,CUST0010,Checking,2025-03-04,Dormant,Switzerland
ACCT00021,CUST0010,Savings,2017-12-12,Dormant,Switzerland
ACCT00022,CUST0011,Business,2024-08-18,Dormant,UAE
ACCT00023,CUST0011,Savings,2022-05-20,Active,UAE
ACCT00024,CUST0012,Business,2025-01-20,Active,United Kingdom
ACCT00025,CUST0013,Savings,2020-03-17,Active,Ireland
ACCT00026,CUST0013,Savings,2020-08-09,Active,Ireland
ACCT00027,CUST0014,Business,2022-08-19,Active,India
ACCT00028,CUST0015,Business,2025-05-31,Active,Ireland
ACCT00029,CUST0016,Checking,2024-03-15,Dormant,Iran
ACCT00030,CUST0017,Savings,2020-04-09,Active,Spain
ACCT00031,CUST0017,Business,2023-07-04,Active,Spain
ACCT00032,CUST0018,Savings,2023-12-24,Active,Syria
ACCT00033,CUST0018,Checking,2024-05-31,Active,Syria
ACCT00034,CUST0019,Savings,2025-01-22,Dormant,North Korea
ACCT00035,CUST0019,Savings,2025-05-15,Dormant,North Korea
ACCT00036,CUST0020,Savings,2025-05-22,Dormant,Canada
ACCT00037,CUST0020,Business,2024-12-24,Dormant,Canada
ACCT00038,CUST0021,Business,2019-01-10,Active,Libya
ACCT00039,CUST0021,Savings,2020-10-15,Active,Libya
ACCT00040,CUST0022,Business,2025-01-07,Dormant,Singapore
ACCT00041,CUST0023,Checking,2020-11-18,Dormant,India
ACCT00042,CUST0024,Checking,2024-03-23,Dormant,Myanmar
ACCT00043,CUST0025,Business,2019-07-20,Closed,United States
ACCT00044,CUST0026,Checking,2025-05-18,Dormant,France
ACCT00045,CUST0027,Business,2024-09-29,Active,India
ACCT00046,CUST0027,Savings,2025-02-10,Active,India
ACCT00047,CUST0028,Business,2024-10-12,Active,Canada
ACCT00048,CUST0028,Business,2023-05-16,Active,Canada
ACCT00049,CUST0029,Business,2019-03-23,Active,Switzerland
ACCT00050,CUST0029,Checking,2020-08-11,Active,Switzerland
ACCT00051,CUST0030,Checking,2022-08-29,Active,Germany
ACCT00052,CUST0030,Savings,2023-07-28,Dormant,Germany
ACCT00053,CUST0031,Savings,2024-06-07,Dormant,France
ACCT00054,CUST0031,Savings,2023-04-15,Active,France
ACCT00055,CUST0031,Checking,2021-12-10,Active,France
ACCT00056,CUST0032,Business,2016-11-16,Active,Spain
ACCT00057,CUST0032,Savings,2021-03-23,Closed,Spain
ACCT00058,CUST0032,Savings,2016-06-20,Closed,Spain
ACCT00059,CUST0033,Checking,2019-10-17,Active,India
ACCT00060,CUST0033,Savings,2016-07-08,Active,India
ACCT00061,CUST0034,Business,2019-03-18,Active,Japan
ACCT00062,CUST0034,Business,2024-11-10,Active,Japan
ACCT00063,CUST0035,Business,2019-12-19,Dormant,United Kingdom
ACCT00064,CUST0035,Savings,2022-03-01,Active,United Kingdom
ACCT00065,CUST0036,Business,2021-10-12,Active,UAE
ACCT00066,CUST0036,Savings,2024-10-02,Active,UAE
ACCT00067,CUST0037,Business,2018-01-04,Active,United Kingdom
ACCT00068,CUST0037,Savings,2022-09-07,Active,United Kingdom
ACCT00069,CUST0037,Savings,2021-07-09,Dormant,United Kingdom
ACCT00070,CUST0038,Checking,2020-03-21,Active,Canada
ACCT00071,CUST0038,Savings,2020-09-07,Active,Canada
ACCT00072,CUST0039,Savings,2023-12-05,Active,Netherlands
ACCT00073,CUST0040,Checking,2022-12-12,Active,Singapore
ACCT00074,CUST0040,Business,2019-03-23,Dormant,Singapore
ACCT00075,CUST0041,Checking,2021-07-07,Active,Japan
ACCT00076,CUST0041,Business,2022-07-31,Active,Japan
ACCT00077,CUST0041,Savings,2023-01-24,Active,Japan
ACCT00078,CUST0042,Business,2022-12-16,Active,India
ACCT00079,CUST0042,Checking,2020-03-14,Active,India
ACCT00080,CUST0043,Savings,2018-12-10,Active,Singapore
ACCT00081,CUST0043,Savings,2020-05-09,Active,Singapore
ACCT00082,CUST0044,Savings,2024-10-16,Active,United Kingdom
ACCT00083,CUST0045,Business,2018-12-11,Active,United States
ACCT00084,CUST0046,Business,2024-01-01,Active,UAE
ACCT00085,CUST0047,Savings,2022-11-22,Active,Germany
ACCT00086,CUST0047,Savings,2022-12-21,Active,Germany
ACCT00087,CUST0048,Business,2023-08-23,Active,Spain
ACCT00088,CUST0048,Savings,2019-03-22,Active,Spain
ACCT00089,CUST0049,Savings,2022-12-26,Active,United States
ACCT00090,CUST0050,Savings,2016-01-08,Active,Singapore
ACCT00091,CUST0051,Business,2025-04-02,Active,Singapore
ACCT00092,CUST0052,Checking,2024-11-27,Active,United Kingdom
