customer_id,bank_assigned_risk_rating,composite_risk_score,flag_structuring,flag_rapid_movement,flag_round_dollar,flag_high_risk_country,flag_watchlist_match,flag_dormant_reactivation
CUST0001,High,125,Y,Y,Y,Y,N,Y
CUST0002,High,125,Y,Y,N,Y,Y,N
CUST0003,High,85,N,Y,N,Y,N,Y
CUST0004,High,135,Y,N,Y,Y,Y,Y
CUST0005,High,65,N,N,Y,Y,N,N
CUST0006,High,85,N,Y,N,Y,N,Y
CUST0007,High,125,Y,Y,Y,Y,N,Y
CUST0008,High,65,N,N,N,Y,N,Y
CUST0009,High,110,N,N,Y,Y,Y,Y
CUST0010,High,120,Y,N,N,Y,Y,Y
CUST0011,High,80,N,N,Y,Y,N,Y
CUST0012,High,80,N,N,N,Y,Y,N
CUST0013,High,110,Y,Y,Y,Y,N,N
CUST0014,High,50,N,N,N,Y,N,N
CUST0015,High,65,N,N,Y,Y,N,N
CUST0016,High,85,N,Y,N,Y,N,Y
CUST0017,High,95,Y,Y,N,Y,N,N
CUST0018,High,80,N,N,N,Y,Y,N
CUST0019,High,80,N,N,Y,Y,N,Y
CUST0020,High,110,N,N,Y,Y,Y,Y
CUST0021,High,120,Y,N,Y,Y,Y,N
CUST0022,High,95,N,N,N,Y,Y,Y
CUST0023,High,85,N,Y,N,Y,N,Y
CUST0024,High,65,N,N,N,Y,N,Y
CUST0025,Low,0,N,N,N,N,N,N
CUST0026,Medium,15,N,N,N,N,N,Y
CUST0027,Low,0,N,N,N,N,N,N
CUST0028,Low,15,N,N,Y,N,N,N
CUST0029,Low,0,N,N,N,N,N,N
CUST0030,Low,30,N,N,Y,N,N,Y
CUST0031,Low,50,N,N,Y,Y,N,Y
CUST0032,Medium,0,N,N,N,N,N,N
CUST0033,Low,0,N,N,N,N,N,N
CUST0034,Low,0,N,N,N,N,N,N
CUST0035,Low,30,N,N,Y,N,N,Y
CUST0036,Medium,0,N,N,N,N,N,N
CUST0037,Medium,35,N,N,N,Y,N,Y
CUST0038,Low,0,N,N,N,N,N,N
CUST0039,Low,0,N,N,N,N,N,N
CUST0040,Low,35,N,N,N,Y,N,Y
CUST0041,Low,0,N,N,N,N,N,N
CUST0042,Low,0,N,N,N,N,N,N
CUST0043,Low,0,N,N,N,N,N,N
CUST0044,Low,0,N,N,N,N,N,N
CUST0045,Low,0,N,N,N,N,N,N
CUST0046,Low,0,N,N,N,N,N,N
CUST0047,Low,0,N,N,N,N,N,N
CUST0048,Low,0,N,N,N,N,N,N
CUST0049,Low,0,N,N,N,N,N,N
CUST0050,Medium,0,N,N,N,N,N,N
CUST0051,Low,0,N,N,N,N,N,N
CUST0052,Low,0,N,N,N,N,N,N
CUST0053,Low,0,N,N,N,N,N,N
CUST0054,Low,0,N,N,N,N,N,N
CUST0055,Low,0,N,N,N,N,N,N
CUST0056,Low,0,N,N,N,N,N,N
CUST0057,Low,0,N,N,N,N,N,N
CUST0058,Medium,0,N,N,N,N,N,N
CUST0059,Medium,0,N,N,N,N,N,N
CUST0060,Medium,15,N,N,Y,N,N,N
CUST0061,Low,0,N,N,N,N,N,N
CUST0062,Low,0,N,N,N,N,N,N
CUST0063,Low,0,N,N,N,N,N,N
CUST0064,Low,0,N,N,N,N,N,N
CUST0065,Low,0,N,N,N,N,N,N
CUST0066,Low,0,N,N,N,N,N,N
CUST0067,Low,0,N,N,N,N,N,N
CUST0068,Medium,0,N,N,N,N,N,N
CUST0069,Low,0,N,N,N,N,N,N
CUST0070,Low,0,N,N,N,N,N,N
CUST0071,Low,0,N,N,N,N,N,N
CUST0072,Low,35,N,N,N,Y,N,Y
CUST0073,Low,15,N,N,Y,N,N,N
CUST0074,Low,0,N,N,N,N,N,N
CUST0075,Medium,0,N,N,N,N,N,N
CUST0076,Medium,0,N,N,N,N,N,N
CUST0077,Medium,50,N,N,Y,Y,N,Y
CUST0078,Medium,0,N,N,N,N,N,N
CUST0079,Low,0,N,N,N,N,N,N
CUST0080,Medium,0,N,N,N,N,N,N
CUST0081,Low,0,N,N,N,N,N,N
CUST0082,Low,15,N,N,Y,N,N,N
CUST0083,Low,0,N,N,N,N,N,N
CUST0084,Low,0,N,N,N,N,N,N
CUST0085,Low,0,N,N,N,N,N,N
CUST0086,Low,0,N,N,N,N,N,N
CUST0087,Medium,0,N,N,N,N,N,N
CUST0088,Low,0,N,N,N,N,N,N
CUST0089,Low,35,N,N,N,Y,N,Y
CUST0090,Low,0,N,N,N,N,N,N
