transaction_id,account_id,transaction_date,amount,counterparty_country,risk_reason
TXN000068,ACCT00020,2025-01-07 00:00:00,93443.96,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000119,ACCT00038,2025-01-12 00:00:00,814.78,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000376,ACCT00026,2025-02-09 00:00:00,1363.2,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000378,ACCT00027,2025-02-09 00:00:00,567.87,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000553,ACCT00029,2025-02-27 02:00:00,48747.44,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000951,ACCT00001,2025-04-12 00:00:00,281.35,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000955,ACCT00023,2025-04-12 00:00:00,30000.0,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001000,ACCT00027,2025-04-16 00:00:00,158.48,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001026,ACCT00001,2025-04-19 12:00:00,9532.19,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001142,ACCT00018,2025-05-01 00:00:00,44096.53,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001350,ACCT00013,2025-05-24 00:00:00,26657.16,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001468,ACCT00030,2025-06-08 00:00:00,2088.36,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001783,ACCT00030,2025-07-13 00:00:00,1505.23,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001893,ACCT00041,2025-07-26 00:00:00,902.85,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002234,ACCT00025,2025-08-30 00:00:00,1302.78,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002310,ACCT00121,2025-09-06 00:00:00,26726.8,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002403,ACCT00038,2025-09-15 00:00:00,1065.73,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002498,ACCT00323,2025-09-26 00:00:00,43704.1,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002622,ACCT00031,2025-10-10 00:00:00,761.27,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002670,ACCT00024,2025-10-16 00:00:00,27836.24,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002788,ACCT00006,2025-10-28 00:00:00,31813.56,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002901,ACCT00041,2025-11-08 00:00:00,62844.0,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002969,ACCT00031,2025-11-17 00:00:00,2057.13,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003055,ACCT00002,2025-11-23 00:00:00,39761.5,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003114,ACCT00030,2025-11-30 00:00:00,144.52,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003145,ACCT00029,2025-12-03 00:00:00,140.06,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003204,ACCT00005,2025-12-11 00:00:00,1174.9,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003235,ACCT00014,2025-12-14 00:00:00,219.97,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003323,ACCT00035,2025-12-22 00:00:00,5000.0,Iran,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000116,ACCT00026,2025-01-12 00:00:00,22634.08,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000124,ACCT00026,2025-01-12 04:00:00,21633.03,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000149,ACCT00026,2025-01-16 00:00:00,4942.24,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000158,ACCT00022,2025-01-17 00:00:00,734.17,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000192,ACCT00004,2025-01-20 00:00:00,1715.77,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000267,ACCT00011,2025-01-28 00:00:00,607.76,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000518,ACCT00030,2025-02-23 00:00:00,2407.32,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000712,ACCT00031,2025-03-17 00:00:00,512.33,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000747,ACCT00025,2025-03-21 00:00:00,183.38,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001002,ACCT00020,2025-04-16 10:00:00,9772.34,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001065,ACCT00038,2025-04-23 00:00:00,55771.67,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001134,ACCT00011,2025-04-30 00:00:00,50309.91,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001137,ACCT00025,2025-04-30 11:00:00,9688.57,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001425,ACCT00035,2025-06-02 00:00:00,30000.0,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001426,ACCT00011,2025-06-02 00:00:00,86170.1,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001785,ACCT00014,2025-07-13 05:00:00,9610.75,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001792,ACCT00003,2025-07-14 00:00:00,7584.39,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001805,ACCT00020,2025-07-16 00:00:00,21342.49,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001813,ACCT00025,2025-07-17 00:00:00,2555.6,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001901,ACCT00028,2025-07-27 00:00:00,795.55,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002124,ACCT00040,2025-08-18 00:00:00,845.58,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002261,ACCT00024,2025-09-02 00:00:00,1417.08,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002280,ACCT00010,2025-09-03 02:00:00,9084.13,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002300,ACCT00005,2025-09-05 05:00:00,9799.8,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002317,ACCT00039,2025-09-07 00:00:00,654.31,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002579,ACCT00031,2025-10-04 00:00:00,1039.65,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002748,ACCT00152,2025-10-24 00:00:00,29814.62,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002781,ACCT00028,2025-10-28 00:00:00,145.59,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002942,ACCT00025,2025-11-12 00:00:00,385.71,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003042,ACCT00038,2025-11-22 00:00:00,50792.39,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003219,ACCT00008,2025-12-12 00:00:00,215.83,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003319,ACCT00038,2025-12-22 00:00:00,4007.32,North Korea,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000160,ACCT00005,2025-01-17 00:00:00,445.69,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000306,ACCT00005,2025-02-01 00:00:00,274.56,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000427,ACCT00004,2025-02-14 00:00:00,71.5,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000554,ACCT00012,2025-02-28 00:00:00,215.85,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000670,ACCT00014,2025-03-13 00:00:00,527.98,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000673,ACCT00011,2025-03-13 00:00:00,10000.0,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000720,ACCT00038,2025-03-17 15:00:00,9189.05,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000729,ACCT00038,2025-03-18 01:00:00,9635.55,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000774,ACCT00001,2025-03-23 00:00:00,269.26,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001093,ACCT00029,2025-04-26 00:00:00,48387.52,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001167,ACCT00025,2025-05-02 05:00:00,9204.37,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001413,ACCT00039,2025-06-01 00:00:00,299.38,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001467,ACCT00019,2025-06-08 00:00:00,20000.0,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001469,ACCT00026,2025-06-08 00:00:00,130.37,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001513,ACCT00026,2025-06-12 00:00:00,5000.0,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001529,ACCT00030,2025-06-15 00:00:00,530.47,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001548,ACCT00012,2025-06-18 00:00:00,293.4,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001629,ACCT00026,2025-06-27 00:00:00,1155.01,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001654,ACCT00030,2025-06-29 16:00:00,40518.43,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001763,ACCT00014,2025-07-11 13:00:00,9859.82,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001801,ACCT00005,2025-07-15 00:00:00,1106.97,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001811,ACCT00025,2025-07-16 00:00:00,1757.81,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001927,ACCT00033,2025-07-29 00:00:00,342.44,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001950,ACCT00008,2025-07-31 00:00:00,1279.68,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001953,ACCT00007,2025-07-31 00:00:00,1073.82,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001956,ACCT00003,2025-07-31 00:00:00,1197.9,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002241,ACCT00001,2025-08-31 00:00:00,452.8,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002249,ACCT00041,2025-09-01 00:00:00,89337.71,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002259,ACCT00218,2025-09-02 00:00:00,36280.9,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002312,ACCT00005,2025-09-06 14:00:00,9604.55,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002325,ACCT00005,2025-09-07 12:00:00,9616.73,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002427,ACCT00168,2025-09-17 00:00:00,12513.35,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002440,ACCT00028,2025-09-18 00:00:00,10000.0,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002473,ACCT00032,2025-09-22 00:00:00,697.16,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002489,ACCT00038,2025-09-24 00:00:00,382.9,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002492,ACCT00042,2025-09-25 00:00:00,770.25,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002495,ACCT00031,2025-09-25 00:00:00,1004.83,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002568,ACCT00069,2025-10-03 00:00:00,41121.98,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002575,ACCT00019,2025-10-03 00:00:00,25000.0,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002643,ACCT00196,2025-10-12 00:00:00,38501.26,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002644,ACCT00039,2025-10-13 00:00:00,391.17,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002685,ACCT00019,2025-10-18 00:00:00,34131.09,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002771,ACCT00022,2025-10-27 00:00:00,12981.41,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN003209,ACCT00007,2025-12-11 00:00:00,412.54,Syria,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000039,ACCT00025,2025-01-05 00:00:00,115.18,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000043,ACCT00014,2025-01-06 00:00:00,508.32,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000044,ACCT00002,2025-01-06 00:00:00,5000.0,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000139,ACCT00030,2025-01-15 00:00:00,114.11,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000141,ACCT00032,2025-01-15 00:00:00,1668.75,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000145,ACCT00019,2025-01-16 00:00:00,176.52,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000217,ACCT00007,2025-01-23 00:00:00,996.07,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000225,ACCT00001,2025-01-24 00:00:00,198.14,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000694,ACCT00011,2025-03-15 00:00:00,799.42,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000858,ACCT00005,2025-04-02 00:00:00,2315.38,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN000912,ACCT00038,2025-04-07 00:00:00,1252.54,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001083,ACCT00040,2025-04-25 00:00:00,1889.68,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001185,ACCT00025,2025-05-04 02:00:00,9397.39,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001269,ACCT00033,2025-05-14 00:00:00,243.2,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001353,ACCT00038,2025-05-25 00:00:00,451.37,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001510,ACCT00027,2025-06-12 00:00:00,2543.54,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001542,ACCT00027,2025-06-17 00:00:00,976.15,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001728,ACCT00008,2025-07-09 00:00:00,4345.06,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001742,ACCT00014,2025-07-10 09:00:00,9241.38,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001891,ACCT00032,2025-07-26 00:00:00,2260.11,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001970,ACCT00032,2025-08-02 00:00:00,1357.5,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN001991,ACCT00014,2025-08-03 21:00:00,34212.5,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002071,ACCT00031,2025-08-11 00:00:00,760.4,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002129,ACCT00016,2025-08-19 00:00:00,575.73,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002139,ACCT00007,2025-08-19 00:00:00,249.94,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002205,ACCT00005,2025-08-26 00:00:00,1747.47,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002496,ACCT00031,2025-09-25 00:00:00,1097.77,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002512,ACCT00030,2025-09-27 00:00:00,177.8,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002631,ACCT00008,2025-10-11 00:00:00,306.8,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002655,ACCT00009,2025-10-14 00:00:00,41681.03,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
TXN002719,ACCT00010,2025-10-21 00:00:00,27940.55,Myanmar,OFAC/FATF sanctioned or high-risk jurisdiction
